"","AddresseeAffiliation","AuthorName","Keyword","MimeType","LicenseNumber","AuthorAffiliation","CaseReferenceNumber","DocumentType","DocketNumber","CompoundDocumentState","EstimatedPageCount","ContentSize","DocumentTitle","AccessionNumber","PublishDatePARS","DocumentDate","URI","AddresseeName","DocumentReportNumber","DateDocketed","PackageNumber"
"97",NA,NA,"OARC20061102MAB8, oarc20080403wjd1, stt, tjb2","application/pdf","NPF-086","NRC/NRR",NA,"Part 21 Correspondence, Report, Miscellaneous","05000443","false ","2","70,120","Seabrook, Part 21 Report Involving an Undersized Emergency Feedwater Pump Shaft.","ML040210520","01/29/2004 09:22 AM EST",2004-01-16,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B477D9371-76ED-4CFA-A3F4-18C469C7C117%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Seabrook, Part 21 Report Involving an Undersized Emergency Feedwater Pump Shaft.",NA,NA,NA,NA
"98","NRC/Document Control Desk, NRC/NRR","Grissette D E","DPCautoadd, ems2, rls1, OARC20120724mtr1-Changed Release Date., utsPARS","application/pdf","NPF-090","Tennessee Valley Authority",NA,"Deficiency Correspondence (per 10CFR50.55e and Part 21), Letter, Part 21 Correspondence","05000390","false ","4","266,903","Second Interim Report Pursuant to 10 CFR 21 - Unexpected Degradation of Vital Batteries III and IV.","ML12206A055","07/24/2012 12:09 PM EDT",2012-07-24,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B6631BA68-C289-4B13-9780-BFDD3D6DA531%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Second Interim Report Pursuant to 10 CFR 21 - Unexpected Degradation of Vital Batteries III and IV.",NA,NA,NA,NA
"99","NRC/Document Control Desk, NRC/NMSS","Trice K D","DPCautoadd, gjn1, rls1, OARC20121005mtr1-Removed Non-Public Pending Review-Released, Added SUNSI Comment, Review and Release Date., SUNSI Review Complete, utsPARS","application/pdf",NA,"Shaw AREVA MOX Services, LLC","DCS-NRC-000329","Deficiency Report (per 10CFR50.55e and Part 21), Letter, Part 21 Correspondence","07003098","false ","5","120,762","Shaw AREVA MOX Services, Mixed Oxide Fuel Fabrication Facility, Part 21 60-Day Interim Report Notification: HVAC Duct Spool Minimum Wall Thickness.","ML12278A421","10/05/2012 02:16 PM EDT",2012-10-04,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BDF266037-ABFB-4F50-A8CE-64CAE0F8C08D%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Shaw AREVA MOX Services, Mixed Oxide Fuel Fabrication Facility, Part 21 60-Day Interim Report Notification: HVAC Duct Spool Minimum Wall Thickness.",NA,NA,NA,NA
"100","NRC/Document Control Desk, NRC/NMSS","Trice K D","DPCautoadd, dtp1, OARC20130501dnd-Removed Non-Public Pending Review-Released, Added SUNSI Comment, Review and Release Date., oarc20140212jrr3-Deficiency Report Added to Document Type Field., SUNSI Review Complete, utsPARS","application/pdf",NA,"Shaw AREVA MOX Services, LLC","DCS-NRC-000345","Deficiency Report (per 10CFR50.55e and Part 21), Letter, Part 21 Correspondence","07003098","false ","6","131,625","Shaw AREVA MOX Services: Mixed Oxide Fuel Fabrication Facility - Part 21 Final Report Notification: Thermal Sensitization of Pipe.","ML13120A277","05/01/2013 09:35 AM EDT",2013-04-29,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BEC0BCE64-1F75-41D9-96F3-AEF767F24BF7%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Shaw AREVA MOX Services: Mixed Oxide Fuel Fabrication Facility - Part 21 Final Report Notification: Thermal Sensitization of Pipe.",NA,NA,NA,NA
"101",NA,NA,"exb3, nrpars, nxp, oarc20080317wjd1, oarc20080611dam1: due to the need for input from multiple staff members in responses to public comments, normal release to the public was delayed.  Exempted from PRT +rur., SUNSI Review Complete, utsPARS","application/pdf",NA,"NRC/RES","DG-1173","- No Document Type Applies, Part 21 Correspondence",NA,"false ","8","93,709","Staff's Disposition of Public Comments to DG-1173.","ML073200289","05/21/2008 04:40 PM EDT",2008-02-04,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B2D8759D7-DBE5-4B47-8EF1-39AB4031EFF1%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Staff's Disposition of Public Comments to DG-1173.",NA,"RG-1.045",NA,"ML073200269"
"102","NRC/NRO",NA,"ems2, OARC20151223mtr1-Added Document Type., stt, SUNSI Review Complete, utsPARS","application/pdf",NA,"STERIS Isomedix Services",NA,"Part 21 Correspondence, Technical Paper","99901145","false ","23","753,590","STERIS Isomedix Position Paper Isomedix Dosimetry Measurement - Nuclear Components.","ML15170A147","06/26/2015 08:04 AM EDT",2015-06-19,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BCE67E5D4-8019-428B-BD84-5E2E69C0C052%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=STERIS Isomedix Position Paper Isomedix Dosimetry Measurement - Nuclear Components.",NA,NA,"06/19/2015 12:00 AM EDT",NA
"103","NRC/Document Control Desk, NRC/NSIR/PMDA","Post J S","nxp, oarc20060210mab8, oarc20060217mab8, oarc20060306mab8, oarc20060801mab8, oarc20060802mab8, oarc20060804mab8, oarc20060808mmn, oarc20060809mmn, oarc20060811mmn, oarc20060824mab8, oarc20060829mmn, OARC20060901MAB8, oarc20060907mmn, oarc20060908mmn, oarc20060911mmn, oarc20060919mmn, oarc20060925mmn, OARC20070103MAB8, OARC20070118MAB8, oarc20081028wjd1, tjb2","application/pdf","DPR-016, DPR-019, DPR-022, DPR-025, DPR-029, DPR-030, DPR-035, DPR-044, DPR-046, DPR-049, DPR-056, DPR-057, DPR-059, DPR-062, DPR-063, DPR-071, NPF-005, NPF-011, NPF-018, NPF-037, NPF-039, NPF-043, NPF-057, NPF-058, NPF-062, NPF-066, NPF-069, NPF-085","General Electric Co","MFN 04-108","Letter, Part 21 Correspondence","05000219, 05000220, 05000237, 05000249, 05000254, 05000260, 05000263, 05000265, 05000271, 05000277, 05000278, 05000293, 05000298, 05000321, 05000324, 05000325, 05000331, 05000333, 05000341, 05000352, 05000353, 05000354, 05000366, 05000373, 05000374, 05000410, 05000440, 05000461","false ","3","148,783","Submittal of Part 21 Final Report: Non-conservative SLMCPR.","ML042800267","10/15/2004 08:30 AM EDT",2004-09-29,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B98EE29D6-6740-48FA-A0C9-2AFE1EEF3AE2%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Submittal of Part 21 Final Report: Non-conservative SLMCPR.",NA,NA,NA,NA
"104","NRC/OCIO/IMD/RMB","Salamon G","oarc20021206dnw, TIFF converted to PDF 12/12/2005","application/pdf","DPR-070, DPR-075","Public Service Electric & Gas Co","LR-N000249","Part 21 Correspondence","05000272, 05000311","false ","2","64,775","SUPPLEMENT TO IOCFR2I INTERIM REPORT, GE MODEL CR2940U301 SWITCH SALEM GENERATING STATION UNITS I AND 2","ML003725283","06/29/2000 10:18 AM EDT",2000-06-15,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BA961BBD9-78D4-44D6-93EC-3D06DDDA2BCD%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=SUPPLEMENT TO IOCFR2I INTERIM REPORT, GE MODEL CR2940U301 SWITCH SALEM GENERATING STATION UNITS I AND 2",NA,NA,NA,NA
"105","NRC/Document Control Desk, NRC/NRR","Berryman B","AOA1, dnd, EIEAutoPop, OARC20170824wjd1-Removed Non-Public Pending Review-Released, Changed Availability, Added SUNSI Comment, Review and Release Date., SUNSI Review Complete, utsPARS","application/pdf","NPF-014, NPF-022","Susquehanna Nuclear, LLC, Talen Energy","PLA-7629","Letter, Part 21 Correspondence","05000387, 05000388","false ","5","3,325,273","Susquehanna, Units 1 and 2 - Transmittal of 10CFR 21 Notification.","ML17229B267","08/24/2017 03:25 PM EDT",2017-08-17,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BC926F2C3-C675-4CE0-A9A8-13F9D7337478%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Susquehanna, Units 1 and 2 - Transmittal of 10CFR 21 Notification.",NA,NA,NA,NA
"106","NRC/NRR, NRC/RGN-I","Ducker T","DPCautoadd, gps1, JEF1, OARC20170707mtr1-Removed Non-Public Pending Review-Released, Changed Availability, Added SUNSI Comment, Review and Release Date., SUNSI Review Complete, utsPARS","application/pdf",NA,"TE Connectivity",NA,"Deficiency Report (per 10CFR50.55e and Part 21), Part 21 Correspondence","05000171, 05000219, 05000259, 05000260, 05000263, 05000266, 05000277, 05000278, 05000293, 05000296, 05000301, 05000321, 05000327, 05000328, 05000352, 05000353, 05000366, 05000387, 05000388, 05000390, 05000397, 05000400, 05000458","false ","5","195,875","TE Connectivity - Part 21 Transfer of Information TE-023.","ML17179A378","07/07/2017 08:05 AM EDT",2017-06-07,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BF78427F4-DA72-4D28-ACA5-F27031D7AA8D%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=TE Connectivity - Part 21 Transfer of Information TE-023.",NA,NA,NA,NA
"107","NRC/Document Control Desk, NRC/NRR","Brown D P","DPCautoadd, gps1, jef1, OARC20190108dnd-Removed Non-Public Pending Review-Released, Changed Availability, Added SUNSI Comment, Review and Release Date., SUNSI Review Complete, utsPARS","application/pdf",NA,"Lake Engineering Co",NA,"Deficiency Correspondence (per 10CFR50.55e and Part 21), Part 21 Correspondence","05000003, 05000171, 05000245, 05000247, 05000277, 05000278, 05000286, 05000289, 05000320, 05000331, 05000336, 05000423, 05000461","false ","2","64,344","Third Interim Notification per 10 CFR Part 21 Degraded Snubber SF1154 Hydraulic Fluid Batch No. 11KLVS146.","ML19008A043","01/08/2019 11:06 AM EST",2019-01-04,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B4C60D70E-5490-4571-A52D-00D852B966A3%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Third Interim Notification per 10 CFR Part 21 Degraded Snubber SF1154 Hydraulic Fluid Batch No. 11KLVS146.",NA,NA,NA,NA
"108","NRC/Document Control Desk, NRC/NRR","Mallay J F","AGC, oarc20061003mmn, OARC20070906MAB8, stt","application/pdf","DPR-055","Framatome ANP, Inc","NRC-04-036","Part 21 Correspondence","05000287, PROJ0728","false ","1","56,268","Transmittal of ""Interim Report Concerning an Evaluation of a Deviation Pursuant to 10CFR21.21 (a)(2).""","ML042080249","08/03/2004 08:42 AM EDT",2004-07-22,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B765D672E-F93E-4984-9654-68875C29F9B4%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Transmittal of ""Interim Report Concerning an Evaluation of a Deviation Pursuant to 10CFR21.21 (a)(2).""",NA,NA,NA,NA
"109",NA,NA,"jef1, OARC20020607mjr=Changed the availability  2. Added the release date, TIFF converted to PDF 11/02/2005, tjb2","application/pdf",NA,"NRC/NSIR",NA,"Part 21 Correspondence",NA,"false ","2","33,047","U.S. Nuclear Regulatory Commission Operations Center Event Report 38909 for Rockwell Automation re Potential Defect Involving Insufficient Slot Fill in Electric Motor Winding Used to Drive Fan Assemblies.","ML021370447","06/11/2002 09:41 AM EDT",2002-05-09,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BB6FF47FC-752F-402D-A1E2-E691DB8E1C32%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=U.S. Nuclear Regulatory Commission Operations Center Event Report 38909 for Rockwell Automation re Potential Defect Involving Insufficient Slot Fill in Electric Motor Winding Used to Drive Fan Assemblies.",NA,"38909",NA,NA
"110","NRC/Document Control Desk, NRC/NRR","Porter D E","DPCautoadd, exb3, nxp, utsPARS","application/pdf",NA,"GE-Hitachi Nuclear Energy Americas, LLC","MFN 10-245 R5","Letter, Part 21 Correspondence",NA,"false ","7","1,029,104","Update to Part 21 Reportable Condition Notification: Failure to Include Seismic Input in Channel-Control Blade Interference Customer Guidance.","ML12038A154","02/15/2012 08:54 AM EST",2012-02-07,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BE7DD59AE-AE53-41D5-B49C-94B6078F4181%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Update to Part 21 Reportable Condition Notification: Failure to Include Seismic Input in Channel-Control Blade Interference Customer Guidance.",NA,NA,NA,"ML120380362"
"111","AmerenUE, Constellation Energy Group, Detroit Edison, Dominion Energy Kewaunee, Inc, Dominion Nuclear Connecticut, Inc, Dominion Resources Services, Inc, Duke Energy Carolinas, LLC, Energy Northwest, Entergy Nuclear FitzPatrick, LLC, Entergy Nuclear Generation Co, Entergy Nuclear Operations, Inc, Entergy Nuclear Vermont Yankee, LLC, Entergy Operations, Inc, Exelon Corp, FirstEnergy Corp, Florida Power & Light Co, Indiana Michigan Power Co, Luminant Generation Co, LLC, Nebraska Public Power District (NPPD), NextEra Energy Seabrook, LLC, NRC/NRR/DIRS, Omaha Public Power District, Pacific Gas & Electric Co, PPL Susquehanna, LLC, Progress Energy Carolinas, Inc, PSEG Nuclear, LLC, South Texas Project Nuclear Operating Co, Southern Nuclear Operating Co, Inc, Tennessee Valley Authority, Union Electric Co, Wolf Creek Nuclear Operating Corp, Xcel Energy","Sherman R P","lxk1, nxp, SUNSI Review Complete, utsPARS, OARC20101116AGC = Re-PDF'ed to a compliant version to correct filter failed indexing status","application/pdf",NA,"Flowserve Corp","FOIA/PA-2011-0115","Letter, Part 21 Correspondence","05000016, 05000022, 05000029, 05000155, 05000206, 05000213, 05000219, 05000220, 05000244, 05000245, 05000247, 05000255, 05000261, 05000263, 05000266, 05000271, 05000275, 05000282, 05000285, 05000286, 05000293, 05000298, 05000301, 05000302, 05000305, 05000306, 05000315, 05000316, 05000317, 05000318, 05000321, 05000323, 05000324, 05000325, 05000331, 05000333, 05000334, 05000336, 05000341, 05000346, 05000348, 05000361, 05000362, 05000364, 05000366, 05000387, 05000388, 05000397, 05000400, 05000410, 05000412, 05000413, 05000414, 05000423, 05000424, 05000425, 05000440, 05000443, 05000445, 05000446, 05000460, 05000461, 05000482, 05000498, 05000499, 05000528, 05000529, 05000530","false ","8","331,988","USNRC 10CFR Part 21 Notification - Flowserve Figure 848 Disk/Disk Nut Separation.","ML100070073","02/17/2010 08:28 AM EST",2009-11-19,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BAA64CABE-A108-41F5-B44F-0839A396BB25%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=USNRC 10CFR Part 21 Notification - Flowserve Figure 848 Disk/Disk Nut Separation.",NA,NA,NA,NA
"112","NRC/Document Control Desk, NRC/NRO","Durham D","DPCautoadd, eeh4, OARC20161227wjd1-Removed Non-Public Pending Review-Released, Changed Availability, Added SUNSI Comment, Review and Release Date., stt, SUNSI Review Complete, utsPARS","application/pdf",NA,"WECTEC LLC",NA,"Letter, Part 21 Correspondence","05200027, 05200028","false ","3","135,273","V.C. Summer, Units 2 and 3 - Submittal of an Interim 10 CER Part 21 Report Regarding Various Conditions.","ML16356A261","12/27/2016 02:31 PM EST",2016-12-08,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BF5E81925-0A81-4551-8ABA-C185222FB599%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=V.C. Summer, Units 2 and 3 - Submittal of an Interim 10 CER Part 21 Report Regarding Various Conditions.",NA,NA,NA,NA
"113","NRC/Document Control Desk, NRC/NRR","Byrne S A","dnw, nxp, oarc20070924wjd1","application/pdf","NPF-012","South Carolina Electric & Gas Co","NCN 03-1232","Part 21 Correspondence","05000395","false ","1","51,361","Virgil C. Summer - Final Part 21 Report Regarding a Failure of a Safety-Related K-Line Circuit Breaker.","ML040570633","03/08/2004 09:25 AM EST",2004-02-23,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BEF16ED58-B637-4F2B-9441-09A1E3E384EC%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Virgil C. Summer - Final Part 21 Report Regarding a Failure of a Safety-Related K-Line Circuit Breaker.",NA,NA,NA,NA
"114","NRC/Document Control Desk, NRC/NRR","Archie J B","JRR3, oarc20070108rbs=1 added sunsi statement, 2 immediate release, OARC20070821MAB8, stt, SUNSI Review Complete","application/pdf","NPF-012","South Carolina Electric & Gas Co","43031","Letter, Part 21 Correspondence","05000395","false ","4","195,909","Virgil C. Summer Nuclear, Part 21 notification re identification of defect of Fairbanks Morse woodward governor which considered to be a substantial safety hazard.","ML070030009","01/08/2007 08:45 AM EST",2006-12-22,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B69A6ADFA-B2AC-4A9C-8FA3-13D2FB7DD8B8%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Virgil C. Summer Nuclear, Part 21 notification re identification of defect of Fairbanks Morse woodward governor which considered to be a substantial safety hazard.",NA,NA,NA,NA
"115","NRC/Document Control Desk, NRC/NRR","Gasser J T","oarc20070926wjd1, stt, tjb2","application/pdf",NA,"Southern Nuclear Operating Co, Inc","NL-04-2459","Letter, Part 21 Correspondence","05000424, 05000425","false ","17","636,749","Vogtle Electric Generating Plant 10 CFR 21 Report, Electric Power Research Institute Motor Operated Valve Performance Prediction Methodology Versions 1.0 through 3.2.","ML043520074","12/28/2004 10:37 AM EST",2004-12-15,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B225132A2-B653-444E-9C7B-9E4F2D9F068C%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Vogtle Electric Generating Plant 10 CFR 21 Report, Electric Power Research Institute Motor Operated Valve Performance Prediction Methodology Versions 1.0 through 3.2.",NA,NA,NA,NA
"116","NRC/Document Control Desk, NRC/NRR","Grissette D E","OARC20070926MAB8, stt, tjb2","application/pdf",NA,"Southern Nuclear Operating Co, Inc","NL-05-0317","Letter, Part 21 Correspondence","05000424, 05000425","false ","3","90,259","Vogtle Electric Generating Plant, 10 CFR 21 Interim Report Cutler-Hammer Freedom Series Model C306 Thermal Overload Relays and Heater Packs.","ML050630275","03/14/2005 09:58 AM EST",2005-03-02,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B7F9D77D1-C817-475D-B84C-48BB0D42DB27%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Vogtle Electric Generating Plant, 10 CFR 21 Interim Report Cutler-Hammer Freedom Series Model C306 Thermal Overload Relays and Heater Packs.",NA,NA,NA,NA
"117","NRC/Document Control Desk, NRC/NRR","Gasser J T","oarc20070926wjd1, stt, tjb2","application/pdf",NA,"Southern Nuclear Operating Co, Inc","41264","Part 21 Correspondence","05000424, 05000425","false ","19","775,222","Vogtle, Units 1 and 2 - 10 CFR 21 Report, ""Potential Non-Conservatism in Butterfly Value Torque Predictions Under Compressible Flow Conditions.""","ML043520077","12/28/2004 10:37 AM EST",2004-12-15,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BD47B25E5-4F07-4415-89AD-A298BF5855A7%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Vogtle, Units 1 and 2 - 10 CFR 21 Report, ""Potential Non-Conservatism in Butterfly Value Torque Predictions Under Compressible Flow Conditions.""",NA,NA,NA,NA
"118","NRC/NRR, NRC/Document Control Desk","Grissette D E","DPCautoadd, dtp1, rls1, OARC20121127mtr1-Changed Release Date., utsPARS","application/pdf","NPF-090","Tennessee Valley Authority",NA,"Letter, Deficiency Correspondence (per 10CFR50.55e and Part 21), Part 21 Correspondence","05000390","false ","4","278,569","Watts Bar Nuclear Plant, Unit 1 - Fourth Interim Report Pursuant to 10 CFR 21 - Unexpected Degradation of Vital Batteries lll and lV.","ML12326A714","11/27/2012 11:40 AM EST",2012-11-21,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BDFB82B47-7A85-46F0-85BE-68B6D467A8D4%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Watts Bar Nuclear Plant, Unit 1 - Fourth Interim Report Pursuant to 10 CFR 21 - Unexpected Degradation of Vital Batteries lll and lV.",NA,NA,NA,NA
"119","NRC/Document Control Desk, NRC/NRO","Gustafson D A","DPCautoadd, gps1, jef1, OARC20170913wjd1-Removed Non-Public Pending Review-Released, Changed Availability, Added SUNSI Comment, Review and Release Date., SUNSI Review Complete, utsPARS","application/pdf",NA,"WECTEC LLC",NA,"Letter, Part 21 Correspondence","05000395","false ","1","32,643","WECTEC LLC - Closure of Interim 10 CFR Part 21 Report.","ML17251A839","09/13/2017 01:27 PM EDT",2017-08-14,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BB0FEA371-0AB4-40FB-87C1-30A8DBF0EE0A%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=WECTEC LLC - Closure of Interim 10 CFR Part 21 Report.",NA,NA,NA,NA
